,removal,type,centrality_measure,nodes_after_removal,connected,components,largest_component_nodes,diameter,average_path_length,global_efficiency,robustness_index,clustering_coefficient
0,0,Non-seq,degree,437,FALSE,2,420,47,17.51145585,0.080721497,0.961098398,0.02303585
1,1,Non-seq,degree,436,FALSE,3,417,54,20.52675936,0.07279004,0.956422018,0.023853211
2,2,Non-seq,degree,435,FALSE,3,416,54,20.80078777,0.071539485,0.956321839,0.022911877
3,3,Non-seq,degree,434,FALSE,4,414,54,21.08936613,0.070514131,0.953917051,0.024500768
4,4,Non-seq,degree,433,FALSE,6,404,55,21.92576714,0.068883526,0.933025404,0.019630485
5,5,Non-seq,degree,432,FALSE,6,403,59,23.53017789,0.064575075,0.93287037,0.018981481
6,6,Non-seq,degree,431,FALSE,6,402,59,24.05878339,0.063177061,0.932714617,0.017633411
7,7,Non-seq,degree,430,FALSE,7,398,59,24.34372112,0.06257619,0.925581395,0.014728682
8,8,Non-seq,degree,429,FALSE,8,392,61,24.79680568,0.061785615,0.913752914,0.014763015
9,9,Non-seq,degree,428,FALSE,9,379,68,27.72188019,0.057586108,0.885514019,0.014797508
10,0,Non-seq,betweenness,437,TRUE,1,437,54,20.26888922,0.073230715,1,0.023417239
11,1,Non-seq,betweenness,436,TRUE,1,436,77,27.47937362,0.064254306,1,0.023623853
12,2,Non-seq,betweenness,435,FALSE,2,433,80,28.73844196,0.063323015,0.995402299,0.023678161
13,3,Non-seq,betweenness,434,FALSE,2,432,80,29.22248002,0.061449851,0.995391705,0.022887865
14,4,Non-seq,betweenness,433,FALSE,2,431,80,29.51594453,0.060337529,0.995381062,0.021939954
15,5,Non-seq,betweenness,432,FALSE,2,430,83,30.33049276,0.058834779,0.99537037,0.020601852
16,6,Non-seq,betweenness,431,FALSE,2,429,83,30.77153999,0.057687383,0.995359629,0.020649652
17,7,Non-seq,betweenness,430,FALSE,2,428,83,31.04958524,0.057059393,0.995348837,0.020697674
18,8,Non-seq,betweenness,429,FALSE,2,427,99,35.91333795,0.052974858,0.995337995,0.020745921
19,9,Non-seq,betweenness,428,FALSE,3,305,69,25.8572692,0.069683423,0.712616822,0.020794393
20,0,Non-seq,closeness,437,TRUE,1,437,47,17.68220561,0.079337352,1,0.022044241
21,1,Non-seq,closeness,436,TRUE,1,436,47,17.76173152,0.078808962,1,0.022094801
22,2,Non-seq,closeness,435,TRUE,1,435,47,18.07643413,0.077707244,1,0.020842912
23,3,Non-seq,closeness,434,TRUE,1,434,56,21.576569,0.069221863,1,0.021274962
24,4,Non-seq,closeness,433,TRUE,1,433,58,22.18346378,0.067461519,1,0.021401078
25,5,Non-seq,closeness,432,TRUE,1,432,61,23.77922789,0.063934343,1,0.020601852
26,6,Non-seq,closeness,431,FALSE,2,430,61,23.79363582,0.063828745,0.997679814,0.022196442
27,7,Non-seq,closeness,430,FALSE,2,429,63,26.14831275,0.060088325,0.997674419,0.022248062
28,8,Non-seq,closeness,429,TRUE,1,429,63,26.14831275,0.060088325,1,0.022299922
29,9,Non-seq,closeness,428,FALSE,2,426,64,26.6997625,0.059352504,0.995327103,0.022352025
30,0,Seq,degree,437,FALSE,2,420,47,17.51145585,0.080721497,0.961098398,0.02303585
31,1,Seq,degree,436,FALSE,3,417,54,20.52675936,0.07279004,0.956422018,0.023853211
32,2,Seq,degree,435,FALSE,3,416,54,20.80078777,0.071539485,0.956321839,0.022911877
33,3,Seq,degree,434,FALSE,5,406,55,21.56889862,0.069959733,0.935483871,0.018049155
34,4,Seq,degree,433,FALSE,5,405,59,23.07627429,0.065733993,0.935334873,0.017397998
35,5,Seq,degree,432,FALSE,6,403,59,23.53017789,0.064575075,0.93287037,0.018981481
36,6,Seq,degree,431,FALSE,7,399,59,23.81609803,0.063990256,0.92575406,0.01608662
37,7,Seq,degree,430,FALSE,8,386,60,25.47321176,0.060834367,0.897674419,0.016124031
38,8,Seq,degree,429,FALSE,11,362,59,24.98002785,0.062373268,0.843822844,0.016161616
39,9,Seq,degree,428,FALSE,14,338,60,24.65541763,0.063772283,0.789719626,0.016199377
40,0,Seq,betweenness,437,TRUE,1,437,54,20.26888922,0.073230715,1,0.023417239
41,1,Seq,betweenness,436,TRUE,1,436,77,27.47937362,0.064254306,1,0.023623853
42,2,Seq,betweenness,435,FALSE,3,426,80,29.14235846,0.062269047,0.979310345,0.018773946
43,3,Seq,betweenness,434,FALSE,4,228,72,24.64151016,0.072079293,0.525345622,0.018817204
44,4,Seq,betweenness,433,FALSE,5,197,34,12.49191961,0.119797359,0.454965358,0.018860662
45,5,Seq,betweenness,432,FALSE,5,196,34,13.26933543,0.11267992,0.453703704,0.018055556
46,6,Seq,betweenness,431,FALSE,6,183,39,14.62955624,0.10940333,0.424593968,0.018097448
47,7,Seq,betweenness,430,FALSE,6,182,47,17.00036428,0.101722493,0.423255814,0.017131783
48,8,Seq,betweenness,429,FALSE,9,121,56,21.44297521,0.092870053,0.282051282,0.017171717
49,9,Seq,betweenness,428,FALSE,11,113,31,11.33249052,0.144576172,0.264018692,0.017211838
50,0,Seq,closeness,437,TRUE,1,437,47,17.68220561,0.079337352,1,0.022044241
51,1,Seq,closeness,436,TRUE,1,436,54,20.47952125,0.072133006,1,0.022477064
52,2,Seq,closeness,435,TRUE,1,435,61,22.3703586,0.067698367,1,0.021762452
53,3,Seq,closeness,434,TRUE,1,434,61,22.93820841,0.066263188,1,0.021812596
54,4,Seq,closeness,433,TRUE,1,433,61,23.52623813,0.064751507,1,0.022093918
55,5,Seq,closeness,432,FALSE,3,419,75,29.6826004,0.059506584,0.969907407,0.022145062
56,6,Seq,closeness,431,FALSE,5,209,42,14.82328855,0.103130868,0.484918794,0.022196442
57,7,Seq,closeness,430,FALSE,5,208,42,15.70327016,0.098835655,0.48372093,0.020620155
58,8,Seq,closeness,429,FALSE,6,197,48,19.49559722,0.084420679,0.459207459,0.020668221
59,9,Seq,closeness,428,FALSE,8,185,47,17.9920094,0.095021166,0.432242991,0.020716511
